component,spcd,n,sigma,rmse,sd_pe_pct,fi
FOL_DW,,14972,1.16555203273024,19.1190097437332,283.664252673935,0.807939009094878
FOL_DW,12,200,1.59101308174016,13.3814584304236,202.524828171942,0.595266601908939
FOL_DW,15,104,3.22309946471516,97.4340017109877,84.2258402111558,0.755761620351259
FOL_DW,16,11,2.47567246213897,15.8458421097188,140.41032227322,-2.5506041982781
FOL_DW,17,107,2.96103666833197,37.7085997786031,60.8525299992441,0.816456490841776
FOL_DW,19,114,2.27089257501773,27.5119530376975,70.3969675183982,0.756678999816497
FOL_DW,20,14,5.26548211969211,100.007538931146,66.0610089806258,0.575875458565035
FOL_DW,68,36,1.55971217376871,11.7140160914993,193.316814843929,0.643497607907595
FOL_DW,71,94,0.547965800043298,4.15667831179945,61.6164505096695,0.762554961384294
FOL_DW,73,66,0.56631501328944,8.5468014814303,102.37191736371,0.764852988688914
FOL_DW,81,12,1.73120335114597,28.9024419903733,59.6115780937646,0.786632001821512
FOL_DW,91,30,2.02693474187883,24.8314905138486,35.9414348492999,0.892576153362378
FOL_DW,93,119,2.80493630373095,38.4946101652993,228.699606197508,0.70892894787027
FOL_DW,94,87,1.44990611414184,11.8749828420426,71.1134607957678,0.961024109343827
FOL_DW,95,136,0.980334326896117,5.50894141879523,61.1688316443802,0.784145801552711
FOL_DW,96,1,inf,7.27063652341728,,-inf
FOL_DW,97,81,1.75619219847762,25.1216063508409,68.2896363205033,0.708715946917254
FOL_DW,98,31,1.44559491531094,21.8710548629677,136.06476504956,0.877135743232153
FOL_DW,101,11,1.82052746871122,7.27990929514147,4731.30998404209,-0.471666821606926
FOL_DW,105,115,0.791382892735244,7.25442043415973,303.066010159912,0.637313991011177
FOL_DW,108,447,1.09449854932594,12.0433836192725,1054.20056435993,0.756677200978504
FOL_DW,110,253,0.594963345267756,9.49333585147204,249.937430374219,0.794095518616626
FOL_DW,111,173,0.844898336749771,10.3663730820127,77.8609309812849,0.862086268825931
FOL_DW,115,1,inf,0.512704173383005,,-inf
FOL_DW,116,9,3.47295286101509,44.7629733703999,43.0463430873559,0.360958973869838
FOL_DW,117,2,2.04401332668379,22.5437453144686,8.1772367525912,0.376495038594994
FOL_DW,119,33,0.902137264693868,15.8510906802003,36.3124010612079,0.841014399651412
FOL_DW,121,314,1.21682340177551,15.9374218796424,159.013929385041,0.802859896516368
FOL_DW,122,606,2.30646688082705,40.5011278802133,95.1805785312548,0.736369783541374
FOL_DW,123,6,1.14757234199751,17.2586909021939,86.5421834806029,-5.2337550985383
FOL_DW,125,262,1.29778130656768,14.8280904378366,333.488955814822,0.782755473871809
FOL_DW,126,35,1.19198965606848,9.39410779536428,107.99359581544,0.833591988343535
FOL_DW,128,18,0.399423939712862,4.75543225176076,186.047117862904,0.418225847457401
FOL_DW,129,341,0.975540090383428,15.7972420637022,195.464419375245,0.794770361837054
FOL_DW,131,817,0.806327020110638,10.2870502767557,139.293072423448,0.751764308752082
FOL_DW,132,109,0.826743829299089,6.17211788436566,126.922641963546,0.775809790602858
FOL_DW,202,649,1.80699473717753,30.8281289825731,97.2645502673692,0.840377033792742
FOL_DW,211,36,3.8703957717885,116.949922135345,60.1649816352836,0.394908885354139
FOL_DW,221,26,0.242516534268485,1.39294066762415,65.0930163838984,0.398224648095271
FOL_DW,222,45,0.632264130222373,8.83877161542916,387.436918867163,0.649762905347226
FOL_DW,241,127,0.82201484223678,8.93258803675947,272.277237344424,0.822049792036116
FOL_DW,242,30,1.19732904311549,16.6778751600649,32.9228033528808,0.943762498638348
FOL_DW,261,254,1.13902603820955,18.4577569793603,119.543036318109,0.777105694593194
FOL_DW,263,111,2.1949756826897,42.0828381807714,248.158316292559,0.838286967632111
FOL_DW,264,5,1.99182105468335,48.7819069022206,21.3554711064471,-0.349693761942405
FOL_DW,310,4,1.43651897121939,11.3338636276984,47.6754631275309,0.140834143310176
FOL_DW,312,16,0.14698871561118,1.54803578727274,23.5954093538255,0.896012741824203
FOL_DW,313,50,0.400023901746411,3.53309293082869,107.254166657932,0.918458455145207
FOL_DW,314,4,1.49881866641488,27.6688150485982,68.3873134579167,0.547948087169563
FOL_DW,315,5,0.31111625199032,0.797492814031969,144.588687553338,-0.40054874749535
FOL_DW,316,448,0.600816318685635,7.42246112755246,142.85746921737,0.741238413755415
FOL_DW,317,53,0.585982630033727,6.38362138140513,92.7049664918953,0.665695478400685
FOL_DW,318,284,0.664858620427616,10.3053891146851,96.1875192402084,0.7598640009327
FOL_DW,319,1,inf,0.0893892701893226,,-inf
FOL_DW,320,2,0.289995124523426,0.909068520596369,7.7389601315819,0.717381219814893
FOL_DW,332,5,0.591703761893265,5.826787391311,690.133013557717,0.679634936982962
FOL_DW,351,57,0.781194831205829,8.46930333349148,1109.26364319306,0.882935762144153
FOL_DW,352,2,0.278961211722462,0.216980900946666,121.523103710262,-0.177017784390674
FOL_DW,356,4,0.330746425252153,1.88470497676918,259.400062861337,0.891442971472145
FOL_DW,361,31,0.540826179285936,4.44799084903108,84.0334949204075,0.899112360077478
FOL_DW,370,38,0.88206455334218,10.8172515156523,342.206795032453,0.806380539017586
FOL_DW,371,130,0.824952315331612,10.2729631836604,146.017446288687,0.509151248872094
FOL_DW,372,38,0.495621520718816,4.48905666410439,87.9093886287285,0.722080210854843
FOL_DW,375,138,0.5180934798095,4.97225033947952,98.6606670929362,0.763220609090661
FOL_DW,379,3,0.147277186392191,0.310090950250822,27.3850302214662,-2.15381769988018
FOL_DW,391,60,0.350034794925365,1.80052883723943,158.714774239724,0.680380238449037
FOL_DW,400,247,1.10451890795028,16.4727296597951,142.264471477692,0.698291787129574
FOL_DW,402,6,1.77267313209054,36.1665295285061,51.5651111138923,-1.17452989422914
FOL_DW,403,8,0.753518295362824,4.90191397190107,162.909379394726,0.758062242524842
FOL_DW,431,30,0.583103630336651,11.3155307538222,51.8151255419771,0.800609494436154
FOL_DW,460,14,0.195884036457361,0.485632348747391,85.0857707203141,0.941369355000784
FOL_DW,461,107,0.589017845586154,8.22055247839219,81.0251513211265,0.799364206559141
FOL_DW,462,10,0.949662771463937,13.900021544558,51.4600958928445,-0.045045558750946
FOL_DW,471,18,0.254416750320077,0.675079941870952,87.3185989478054,0.86142345251195
FOL_DW,491,66,0.201391729038083,0.513160789290551,129.862844784365,0.841140643935773
FOL_DW,521,8,0.804875549302694,7.11110767564044,185.127625482602,0.646700268657169
FOL_DW,531,139,1.43512712395485,18.6585530789018,123.022925277743,0.516074037698635
FOL_DW,540,274,0.544146109120214,6.56032685405276,138.73641617947,0.698713574069502
FOL_DW,541,89,0.49717034015644,5.74906200999741,224.771573067162,0.707588580738039
FOL_DW,543,44,0.285254124537847,2.75570926618069,96.572907107641,0.43945646173124
FOL_DW,544,99,0.523094321533164,10.2138943200603,118.132522743538,0.598487787201138
FOL_DW,581,3,0.13575628453525,0.482417648924554,33.104835434142,0.992911260359797
FOL_DW,591,13,0.136926000027883,0.174428918417079,57.7999708264164,0.993342439028089
FOL_DW,602,1,inf,2.99793392995968,,-inf
FOL_DW,611,726,0.486260877919969,5.71650355970226,202.720777993959,0.789149519580738
FOL_DW,621,227,0.403910391984781,7.04608444996972,86.4932511532886,0.735162152260191
FOL_DW,631,31,0.737728796979893,12.8587211083022,34.8226224380232,0.74766590376736
FOL_DW,653,8,0.518511974285844,4.08176491901921,75.6636710481598,0.745937175797554
FOL_DW,655,1,inf,0.936916635858036,,-inf
FOL_DW,680,4,0.216547135793678,0.577082862618697,84.137140680437,-1.3886645829789
FOL_DW,691,193,0.164760506995709,1.38370179312454,117.765782502132,0.726346028414624
FOL_DW,693,35,0.361367737037576,4.19856629314519,162.727840007433,0.90015975763886
FOL_DW,694,142,0.384458328436921,4.542012732641,54.7016402605926,0.903535088989798
FOL_DW,701,4,0.167073622957086,0.237490369297555,125.226969499192,0.449739751130841
FOL_DW,711,35,0.215485102704294,1.20175780515377,103.802749321948,0.790673479882799
FOL_DW,721,1,inf,0.336877616982202,,-inf
FOL_DW,731,41,1.25298372785809,15.5339010058774,582.80282161791,0.6506388080078
FOL_DW,740,132,0.22879693715688,1.25709904400838,70.0124746213083,0.856177355673869
FOL_DW,741,100,0.309057038920605,3.21859368141275,67.5023959832957,0.740808093933936
FOL_DW,742,76,0.609115397214906,8.06048833112595,83.3633512554586,0.656484673339904
FOL_DW,743,82,0.342354080383233,2.89667339926699,86.7858595351742,0.70350100362581
FOL_DW,746,362,0.420597010631175,4.84111337471755,165.263609360895,0.726111762065628
FOL_DW,761,14,0.418421786258615,5.52332183244029,936.851711947396,0.749224098364826
FOL_DW,762,146,0.545715018073465,4.54067968064038,165.642549178244,0.46418745368372
FOL_DW,800,22,0.601357438506781,4.51467478672924,407.418592569542,0.698623214181867
FOL_DW,802,423,1.06820853947377,17.2680383307389,96.7183474945669,0.784745863773984
FOL_DW,804,1,inf,3.31892652880819,,-inf
FOL_DW,806,83,1.38443987146846,19.5293562992252,124.322718252068,0.744658860038937
FOL_DW,807,14,1.10765717667806,25.1367951852498,297.201444499501,-1.87576015565915
FOL_DW,812,53,0.962107546980116,11.8571524222397,96.9538575013054,0.846286437858556
FOL_DW,813,18,0.459599839766986,3.74163812733413,29.3445234096491,0.820168340032889
FOL_DW,819,32,0.986715335806249,5.15088511133876,52.7982462939616,0.778638070962445
FOL_DW,820,47,0.98061549443137,12.6252277094455,97.9287614818816,0.725505366073793
FOL_DW,822,88,1.10503017884083,22.9234318705168,111.892530733823,0.757079679670766
FOL_DW,823,9,0.714606298685761,5.17271385821619,116.653499588909,-6.24671591637937
FOL_DW,824,25,0.711413960442033,3.51267193995356,50.7886221723698,0.852966642905178
FOL_DW,825,1,inf,1.70710496219788,,-inf
FOL_DW,827,206,1.16048269086187,13.8721823984122,111.602841225279,0.746756331257079
FOL_DW,828,57,1.27626724339079,23.6324673042742,85.4477038403471,0.752074805799456
FOL_DW,830,4,0.636408245075068,2.84310822535258,193.898977306639,0.269969349192367
FOL_DW,831,91,0.9168896097561,23.5863926369966,82.1702881777003,0.682589427495961
FOL_DW,832,90,0.774844129992907,9.07005629433476,117.679114417879,0.917398094917036
FOL_DW,833,158,0.739318841002073,11.5238857385785,93.0243102208654,0.752814085045113
FOL_DW,835,30,0.472525925058724,5.98850139446961,35.873332706133,0.926477889052838
