spcd,common_name,genus,species,jenkins_spgrpcd,wdsg
867,Bluewood,Condalia,hookeri,10.0,0.52
868,Blackbead ebony,Ebenopsis,ebano,8.0,0.52
869,Great leucaene,Leucaena,pulverulenta,8.0,0.52
870,Texas sophora,Sophora,affinis,8.0,0.52
873,red stopper,Eugenia,rhombea,8.0,0.52
874,"butterbough, inkwood",Exothea,paniculata,8.0,0.52
876,Florida strangler fig,Ficus,aurea,8.0,0.52
877,"wild banyantree, shortleaf fig",Ficus,citrifolia,8.0,0.52
882,"beeftree, longleaf blolly",Guapira,discolor,8.0,0.52
883,manchineel,Hippomane,mancinella,8.0,0.52
884,false tamarind,Lysiloma,latisiliquum,8.0,0.52
885,mango,Mangifera,indica,8.0,0.52
886,Florida poisontree,Metopium,toxiferum,8.0,0.52
887,fishpoison tree,Piscidia,piscipula,8.0,0.52
888,"octopus tree, schefflera",Schefflera,actinophylla,8.0,0.52
890,false mastic,Sideroxylon,foetidissimum,8.0,0.52
891,"white bully, willow bustic",Sideroxylon,salicifolium,8.0,0.52
895,paradisetree,Simarouba,glauca,8.0,0.52
896,Java plum,Syzygium,cumini,8.0,0.52
897,tamarind,Tamarindus,indica,8.0,0.52
901,black locust,Robinia,pseudoacacia,8.0,0.66
902,New Mexico locust,Robinia,neomexicana,10.0,0.66
906,"Everglades palm, paurotis-palm",Acoelorraphe,wrightii,8.0,0.52
907,Florida silver palm,Coccothrinax,argentata,8.0,0.52
908,coconut palm,Cocos,nucifera,8.0,0.52
909,royal palm spp.,Roystonea,spp.,8.0,0.52
911,Mexican palmetto,Sabal,mexicana,8.0,0.52
912,cabbage palmetto,Sabal,palmetto,8.0,0.52
913,key thatch palm,Thrinax,morrisii,8.0,0.52
914,Florida thatch palm,Thrinax,radiata,8.0,0.52
915,other palms,Family Arecaceae,not listed above,8.0,0.52
919,western soapberry,Sapindus,saponaria,8.0,0.52
920,willow spp.,Salix,spp.,6.0,0.36
921,peachleaf willow,Salix,amygdaloides,6.0,0.36
922,black willow,Salix,nigra,6.0,0.36
923,Bebb willow,Salix,bebbiana,6.0,0.36
924,Bonpland willow,Salix,bonplandiana,6.0,0.36
925,coastal plain willow,Salix,caroliniana,6.0,0.36
926,balsam willow,Salix,pyrifolia,6.0,0.36
927,white willow,Salix,alba,6.0,0.36
928,Scouler's willow,Salix,scouleriana,6.0,0.36
929,weeping willow,Salix,x sepulcralis,6.0,0.36
931,sassafras,Sassafras,albidum,8.0,0.42
934,mountain-ash spp.,Sorbus,spp.,8.0,0.52
935,American mountain-ash,Sorbus,americana,8.0,0.52
936,European mountain-ash,Sorbus,aucuparia,8.0,0.52
937,northern mountain-ash,Sorbus,decora,8.0,0.52
940,West Indian mahogany,Swietenia,mahagoni,8.0,0.52
950,basswood spp.,Tilia,spp.,8.0,0.32
951,American basswood,Tilia,americana,8.0,0.32
952,white basswood,Tilia,americana,8.0,0.32
953,Carolina basswood,Tilia,americana,8.0,0.32
970,elm spp.,Ulmus,spp.,8.0,0.54
971,winged elm,Ulmus,alata,8.0,0.6
972,American elm,Ulmus,americana,8.0,0.46
973,cedar elm,Ulmus,crassifolia,8.0,0.59
974,Siberian elm,Ulmus,pumila,8.0,0.54
975,slippery elm,Ulmus,rubra,8.0,0.48
976,September elm,Ulmus,serotina,8.0,0.54
977,rock elm,Ulmus,thomasii,8.0,0.57
981,California laurel,Umbellularia,californica,8.0,0.51
982,Joshua tree,Yucca,brevifolia,8.0,0.52
986,black mangrove,Avicennia,germinans,8.0,0.52
987,buttonwood-mangrove,Conocarpus,erectus,8.0,0.52
988,white mangrove,Laguncularia,racemosa,8.0,0.52
989,American mangrove,Rhizophora,mangle,8.0,0.52
990,desert ironwood,Olneya,tesota,10.0,0.52
991,saltcedar,Tamarix,spp.,8.0,0.52
992,melaleuca,Melaleuca,quinquenervia,8.0,0.52
993,chinaberry,Melia,azedarach,8.0,0.52
994,Chinese tallowtree,Triadica,sebifera,8.0,0.52
995,tungoil tree,Vernicia,fordii,8.0,0.52
996,smoketree,Cotinus,obovatus,8.0,0.52
997,Russian-olive,Elaeagnus,angustifolia,8.0,0.52
998,unknown dead hardwood,Tree,broadleaf,8.0,0.52
999,other or unknown live tree,Tree,unknown,8.0,0.52
