intercept,logagbt
-2.7232683722977518,0.9710017304772834
-2.7576614601706515,0.9748381394588759
-2.7488101011238513,0.9750972863260503
-2.765289643815846,0.9755610734180599
-2.7520807639669207,0.9733519932239658
-2.721267145897541,0.9701625397941177
-2.79931959712478,0.9795297551879426
-2.7652753977526148,0.9753947248443792
-2.7560949758609294,0.9751440950050034
-2.771176994794521,0.9752997346584373
-2.759820698759573,0.9758101377071005
-2.7296114710099255,0.9725179958854836
-2.774736979674554,0.9774458393822034
-2.744862587734386,0.9710692121802166
-2.7889436349343795,0.9806199665831699
-2.7560093893840607,0.9763109312940288
-2.745676468207417,0.9728828079643496
-2.7645383869077276,0.976710800178952
-2.7611020458384936,0.9750670248148386
-2.735745094258152,0.9724006626152231
-2.7677725530515795,0.9770060237773912
-2.7653384423796417,0.9753398394816009
-2.749804689667381,0.9750453361244098
-2.785802435563003,0.9795636337829027
-2.7670373912623982,0.9755318965211981
-2.760676735873117,0.975140557581029
-2.7455535203121193,0.9736154910729491
-2.7564337803479217,0.9753828562673477
-2.767380995313269,0.9762583726753142
-2.760868973661572,0.9772427961897073
-2.746288360200857,0.9739983904593108
-2.733866604296048,0.9729506972928116
-2.731619811616595,0.9726457312605893
-2.7489908374150325,0.973591962559482
-2.809517807778201,0.9821435822560175
-2.750346723474461,0.9734613254510144
-2.7638739639313905,0.9770563850919752
-2.752542162804155,0.9761976702344778
-2.7387729094648106,0.9731594829526947
-2.7583195488112775,0.9752040761254013
-2.7674985221877026,0.9767402698685157
-2.7305638642116947,0.9724791171949931
-2.724234051828196,0.9715866467321417
-2.7349777019452493,0.9736508019709511
-2.6980756969468844,0.9677335930798906
-2.774363601569129,0.9775531212684669
-2.777800218852921,0.9772587133695255
-2.7663694074643357,0.9776722845826744
-2.773547169368597,0.9776472146870359
-2.7789114344560573,0.9765832138740371
-2.7522370430693113,0.9756934106312295
-2.7360015602320265,0.9733150688070404
-2.765434280689857,0.9757355829408079
-2.7548428751837473,0.9756019794479728
-2.7773898428365644,0.977498823642754
-2.727393966416807,0.9707613844780519
-2.7874518120040697,0.9792822704549363
-2.780060813674371,0.9789513246334368
-2.7436455854881583,0.9738967874853247
-2.734558413257432,0.9711459175250559
-2.788567596478064,0.9796579175272574
-2.7705241661779656,0.9754711370016276
-2.7638346691820983,0.9747269769446623
-2.7793765328526248,0.977998638355751
-2.753754431147925,0.9749574367797474
-2.7420814758043917,0.9730413020047127
-2.7682091686940535,0.9781705705820167
-2.7742591644268524,0.9773626438824902
-2.733837608182068,0.9720211997419965
-2.761808066541858,0.9774729281316173
-2.745244002206866,0.9726485265319207
-2.7127849987664288,0.970191536783708
-2.780587394047699,0.9776756859834373
-2.7681324942578205,0.9764062930640122
-2.7742459841756313,0.9763957608578588
-2.7539741849624066,0.9759368576738956
-2.755850539449278,0.9759973284454692
-2.7348416201142416,0.9742710472485703
-2.801945405769736,0.9807881932099592
-2.7886297569781493,0.9768517215799783
-2.753630217149062,0.9743604111054409
-2.75481818201596,0.9745600001315589
-2.7994851547992923,0.9799045125897269
-2.764096526020766,0.9748273710982853
-2.767236484841556,0.9767039678380376
-2.7606743611052127,0.975908643887288
-2.752403967516141,0.9748670585944285
-2.771749669653375,0.9761031068423349
-2.789969468787543,0.9796831203424816
-2.7763691106029484,0.9780238935447473
-2.7767240937582645,0.9786606395371802
-2.7633565007217857,0.9759374719987148
-2.7468223667062603,0.974879786874177
-2.773587807726959,0.9769728691486969
-2.7432653563187275,0.9730872822167103
-2.7658805211266237,0.9769864600947994
-2.7473023227989346,0.9723477736634277
-2.7467603144486894,0.9743925392010375
-2.75851101638215,0.9748517385801654
-2.7460153835667946,0.9748013433421494
-2.7504873525172573,0.974729794712599
-2.750496321553393,0.9746379726247781
-2.7809709295976557,0.9782100078203362
-2.7512152912170564,0.9747032678989336
-2.7687095268596753,0.9778403998080907
-2.7684061175648704,0.9766649661727147
-2.7587549861635567,0.9760065396030048
-2.7639613529893894,0.9771734277451432
-2.7297385403658425,0.9700946205769785
-2.802665375316461,0.9811978065408968
-2.775782642834355,0.9780115146311733
-2.732405380282982,0.9714153830081707
-2.7523787622788713,0.974858288508239
-2.755880400709761,0.9746553104069129
-2.7348865531186726,0.9732897738222501
